,region,proj_x,proj_y,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
85,20,-56018.2210787659,1740074.2109249586,25.55205047318612,99.3,0.2,5.0,21.4,55658,24.3,10.420409629895795,0.4262,10.8,2.069184682836644,1.5867540531217748,67.46567372585524,1.9,8.2
86,20,-283826.758312765,1819117.9867825704,12.725225225225223,92.5,1.8,2.5,23.1,49415,22.1,11.973085295863845,0.4012,7.5,1.7308546712253876,1.2967765839199674,68.72930990578048,0.7,6.8
87,20,-335623.35821859294,1583889.3134408745,13.658070678127984,107.6,0.5,5.5,26.1,53348,23.6,10.957551826258635,0.3879,11.2,0.729350465559527,1.8744142455482729,71.18078719146096,2.3,5.1
88,20,-182489.0455430908,1574241.7049264924,17.535184480791177,103.6,0.2,6.1,16.2,49865,22.3,11.851984268859493,0.4152,13.5,1.9401751772079645,1.8297236743838765,64.65475615644615,1.6,13.0
89,20,-13190.814304629452,1713911.5449199306,44.50569643513414,94.0,2.3,21.2,27.5,46338,14.8,24.080478782593,0.4692,18.2,3.65965556573648,2.73806119531026,59.35418169474265,10.2,8.7
90,20,-280788.7568433078,1687918.6081186717,23.921130952380956,124.0,4.6,7.7,19.6,49917,20.3,13.637049328707194,0.3951,3.6,2.1735577982073626,1.8619934282584905,51.00558659217877,1.2,9.6
91,20,-287622.2424249758,1577131.6624701123,14.189189189189188,113.8,0.2,3.8,16.0,54821,26.1,7.816091954022987,0.4270000000000001,3.6,0.7888442355984319,3.056768558951972,68.0029695619896,0.6,8.9
92,20,-384945.27261864295,1774569.943077991,11.393273850377488,101.2,0.5,3.4,19.7,48317,26.6,11.649016641452343,0.4142,8.2,0.9032410947402936,0.9517335146159044,71.89638318670578,2.0,12.2
93,20,-124072.53959862648,1668607.5942083974,39.85468722310828,98.9,1.7,11.9,33.2,57982,19.2,14.955221285105646,0.3984,18.3,4.156663233100764,2.1953896816685026,68.46643724536213,3.6,8.2
94,20,-462531.521057502,1675789.7213015738,18.658280922431864,90.9,2.6,31.7,14.7,52599,14.6,15.817762989506017,0.4552,7.4,1.5006165203234128,1.6494845360824684,59.21855921855922,13.1,15.2
95,20,-142561.6126891497,1707959.3738501037,29.32330827067669,97.1,1.2,4.2,28.0,59089,19.5,14.978821717366191,0.4087,23.0,3.457690706760759,2.3548968001108173,66.12925388173865,1.6,6.5
