,region,lon,lat,Y,X1,X2,X3,X4,X5,X6,X7,X8
1812,KY,-84.331560906251,38.4420345571661,11.0,6.7,76.4,56.6,15.2,20.6,27.4,41.0,24.8
1813,NM,-104.647040274355,36.6061708190588,10.6,16.5,65.3,59.3,16.5,15.9,24.9,34.8,24.2
1814,GA,-83.7999701785629,32.1567057518335,10.7,22.1,76.6,50.0,14.6,19.1,31.4,43.2,35.3
1816,UT,-109.518214766967,40.1263394843782,11.8,12.2,67.1,60.8,13.5,12.9,22.2,37.3,23.8
1817,WY,-109.914842354088,42.7665867752479,10.2,9.8,67.3,64.9,21.1,14.2,19.5,33.1,20.7
1818,AZ,-109.751384831901,31.8794588523568,10.4,15.0,67.9,55.5,18.5,15.3,24.0,35.2,27.8
1824,NE,-102.335295783611,41.619180104333,10.1,11.3,69.6,55.4,20.0,19.3,29.9,33.9,22.9
1825,WI,-91.2860572491138,44.7267727831359,11.1,5.7,73.9,66.4,22.8,15.8,22.2,37.3,25.3
1827,CA,-119.905412294091,37.5815463688348,11.4,7.5,68.8,59.4,20.7,16.9,22.1,35.5,27.0
1828,MO,-91.5219760700584,39.5274844407114,10.5,11.3,74.1,58.4,21.1,21.2,26.4,37.9,20.2
1832,MN,-95.4447230949317,45.5860031286512,10.6,5.2,68.9,64.4,23.1,17.4,21.1,32.3,19.6
1833,MS,-89.5086574664703,31.2059307396104,9.8,7.7,77.6,10.1,16.5,17.0,27.3,38.7,28.3
1834,OK,-99.6959628680842,35.6881644912023,12.0,11.0,73.3,56.7,15.8,16.9,29.7,36.7,23.0
1835,NC,-79.1037511522453,34.6404234382968,12.3,17.9,77.0,48.8,14.2,25.0,33.1,40.1,30.1
1836,MI,-85.5278267178737,41.9144154834446,12.5,10.2,73.3,60.7,19.1,21.5,29.6,36.4,26.6
1837,IA,-95.1500518279201,40.7391588094589,9.8,9.5,75.0,62.5,22.7,19.2,28.0,32.9,23.7
1838,OH,-83.0048346779207,40.2784353342342,9.3,4.5,76.5,73.2,19.7,12.3,17.7,32.6,18.2
1840,KS,-95.3017112327545,37.8857027458086,11.4,12.0,74.1,58.1,18.2,20.1,28.2,38.5,22.8
1841,NE,-97.1317081186988,41.2259312239068,8.9,7.6,70.1,65.1,22.4,14.3,23.8,31.5,21.6
1842,OK,-96.7690086748236,34.0247191513108,12.8,17.2,72.6,49.3,14.6,21.1,35.1,40.2,26.7
1843,GA,-81.494986581225,31.8278487511585,11.2,15.9,77.1,53.7,15.0,17.1,28.7,39.2,31.6
1844,IA,-95.1511161069588,43.0825667543454,9.8,6.8,73.9,66.0,24.9,17.5,25.3,31.8,22.0
1845,OK,-97.068009831501,34.4823513481281,12.2,12.3,72.5,55.3,16.2,19.2,31.4,37.4,26.7
1848,MS,-89.9448401097213,34.6503608082089,10.4,13.4,77.2,9.1,16.0,19.5,30.5,38.5,32.4
1849,GA,-84.8762682758584,32.5102647759575,10.8,13.8,78.6,54.6,14.3,17.0,30.7,44.2,33.8
1851,VT,-71.736101507145,44.7280066045852,12.7,9.5,71.7,62.0,19.1,15.0,19.7,32.3,23.1
1852,KY,-85.7160839875009,36.7122110158609,11.4,9.3,76.2,53.0,14.4,22.2,29.7,41.1,25.7
1853,TX,-98.1813849534075,26.3966846914573,9.7,38.5,70.3,39.4,15.8,17.1,39.3,40.7,33.3
