,region,lon,lat,Y,X1,X2,X3,X4,X5,X6,X7,X8
750,TX,-97.3567685981897,29.0819581511294,9.6,24.8,72.0,51.0,18.9,17.1,29.6,39.3,31.5
751,WA,-122.95346310344,48.5785632564628,11.1,6.8,66.0,68.2,20.0,10.7,14.6,28.9,22.0
753,NC,-80.2512803776288,35.311751830322,10.2,12.7,75.2,60.1,18.4,17.5,23.8,35.7,22.9
754,MO,-93.2850253828126,38.7282065747659,10.8,12.4,74.4,57.2,20.4,19.4,27.0,38.6,23.4
755,TX,-103.102512381465,31.5092300643518,9.8,26.8,70.4,47.7,18.3,17.4,33.1,40.2,30.9
759,MT,-107.271841890792,46.211418173005,10.9,9.7,68.8,63.6,22.8,14.3,19.8,30.6,23.1
760,KY,-82.5138935683885,37.8005607999162,12.4,11.9,74.8,41.2,13.3,29.5,36.8,46.0,25.8
761,MT,-109.028002533522,45.2274661007223,10.7,8.4,69.0,64.8,25.2,14.3,20.5,33.1,20.8
764,WI,-92.4412755945684,45.4615053795217,11.4,7.6,70.8,63.3,24.6,20.6,22.7,30.5,24.4
766,WV,-81.6747031647578,38.8344945109186,11.9,8.4,79.1,57.9,17.3,19.4,27.4,43.9,26.6
768,MD,-76.3169029187153,39.5614247093358,10.5,6.4,73.8,67.4,18.0,10.9,20.6,36.6,26.6
769,CA,-122.5405492735,41.5927246019871,11.4,7.6,68.0,60.4,20.5,15.9,21.6,35.6,30.0
770,GA,-84.8757277575537,34.5028483807491,10.9,20.1,71.7,51.1,16.9,20.1,30.5,38.8,29.8
771,AL,-86.6804536012984,31.7525985102121,11.4,13.4,79.6,49.0,13.8,20.4,34.3,43.6,29.3
772,KS,-96.7526296992155,39.002145809178,11.0,11.3,76.1,58.0,17.0,18.3,29.6,37.4,23.2
774,AL,-86.1654714346314,33.3800641404691,11.5,11.5,78.2,52.3,14.8,18.5,31.4,44.7,27.0
776,GA,-81.6117427953092,32.7511007138643,11.8,16.4,75.4,50.7,14.6,20.7,30.4,42.9,32.6
777,KS,-98.2074536135006,39.0454762196391,10.8,8.3,74.9,63.9,18.9,16.4,23.9,34.2,21.6
778,GA,-81.3413734323975,32.3671225914682,10.2,9.9,74.9,62.0,16.5,14.9,23.3,37.9,31.2
780,OK,-95.9414861647567,36.1210679646417,11.5,13.2,72.2,58.6,13.9,16.5,28.2,35.7,23.1
782,TN,-85.6722114209333,36.3599462090631,12.2,17.9,73.9,51.9,16.4,24.2,31.8,39.8,26.6
785,GA,-85.0285316057562,33.0331700412163,10.9,15.1,76.7,56.8,14.4,16.4,28.0,39.5,30.0
786,NE,-98.9911182720622,41.9142895478018,9.2,8.0,71.4,67.3,21.6,13.8,21.2,30.8,19.8
787,TX,-97.7992789568498,31.3909056903364,10.6,16.5,72.7,52.0,18.4,18.9,30.9,41.9,27.8
788,MS,-89.4848628672486,34.3568139846947,9.9,10.6,78.1,10.7,16.1,14.9,26.0,35.8,29.7
789,GA,-83.1707316291648,32.8022701825695,11.4,15.9,75.3,48.8,14.5,21.4,33.1,44.4,32.5
790,IA,-91.3777429842755,43.2841355075637,9.9,7.8,75.3,64.6,23.0,17.3,26.6,36.6,22.1
791,TX,-104.139649223358,30.7150345029534,10.0,24.3,72.0,49.9,18.0,18.0,30.1,39.3,27.0
792,KS,-101.806029395666,38.4807817939021,10.0,11.5,73.4,66.3,18.9,13.1,21.9,31.5,21.3
793,AK,-149.573459107234,62.3154231338699,11.4,10.9,65.6,55.8,18.3,19.5,26.0,34.2,27.2
794,MI,-82.6804977947451,42.9331233289215,11.5,6.9,76.1,68.2,21.7,16.0,23.5,36.1,23.6
795,CA,-118.730029086317,35.3428262386385,10.4,19.3,69.8,52.1,17.7,16.6,30.8,38.7,32.3
796,MD,-75.8321719815862,38.8720440517484,12.0,12.5,74.7,55.3,17.7,19.0,31.4,41.3,29.3
798,OK,-96.2502172739185,35.0483785704496,13.0,14.0,72.5,48.6,15.1,22.4,36.4,39.2,28.0
800,IN,-87.2321871082488,38.3988569399369,11.3,9.5,74.9,58.9,17.5,21.2,28.5,39.8,23.5
802,OH,-83.1275866518734,41.1237051920597,11.6,8.0,77.2,57.2,19.6,22.4,28.5,38.1,22.3
803,IA,-93.7852072342098,41.0289111078125,10.2,11.6,74.7,58.3,21.9,20.6,32.1,34.1,24.3
804,MN,-92.0901273850629,43.6739689770722,10.5,6.7,67.2,63.9,23.8,16.2,22.0,32.0,23.2
806,OH,-82.2704647361258,40.8460354747863,11.2,7.2,75.7,59.3,18.9,21.7,29.0,35.2,23.3
807,MS,-90.1730157810922,33.950813162093,10.5,17.5,78.5,6.1,14.2,22.9,37.5,43.4,35.4
808,NC,-78.6551028425544,34.2655540076522,11.4,14.0,76.5,51.9,16.7,21.6,28.9,39.6,24.7
809,NE,-103.715000568722,41.1979208610612,9.9,11.5,69.2,54.8,21.1,19.5,30.1,34.3,24.8
810,OH,-83.4006589159011,39.894160047348,11.3,8.7,75.3,59.2,19.8,22.3,26.9,39.5,24.5
811,NJ,-75.1406938541165,39.7171717201275,10.1,7.4,75.0,67.6,17.7,12.4,20.7,40.4,24.7
812,TX,-97.7746942699645,32.2223111775323,9.2,15.1,72.2,63.2,21.2,12.3,20.7,34.5,25.0
813,CA,-121.34451940892,38.4486270273732,10.9,7.2,68.7,61.7,17.1,13.0,22.7,38.3,31.8
815,MI,-83.4168308866448,43.4640720936156,11.9,7.9,75.2,62.6,20.6,20.7,26.1,36.9,22.4
816,GA,-85.3005481871168,34.7354440057188,11.4,13.7,71.7,52.9,16.3,20.3,31.8,40.8,26.9
819,WI,-91.7543796736571,44.3797906115145,10.7,6.9,73.2,68.0,24.7,15.5,20.7,34.3,24.7
820,TX,-101.354683598946,35.8400645050996,9.9,20.1,71.5,56.5,20.3,15.5,25.8,38.0,28.9
821,AZ,-109.240185682696,33.215200364114,10.0,14.4,68.0,57.4,19.0,13.4,25.0,37.7,28.0
822,OH,-82.5978887799573,41.1464249274686,10.9,10.0,77.1,64.0,19.7,18.5,23.4,39.3,24.7
823,KY,-88.712418573827,37.05389011778,11.3,5.4,78.7,56.7,14.5,19.7,26.8,41.6,24.9
824,NE,-102.408984015817,42.5045429279252,9.5,10.6,68.8,59.7,20.6,16.8,26.2,32.9,23.3
825,TN,-85.2874033540573,36.3445886252002,11.6,13.0,74.7,53.0,16.6,23.8,31.6,39.4,26.6
826,TX,-98.1108284380851,31.7047074126734,10.3,18.6,71.5,52.2,19.5,19.0,28.2,40.1,25.2
827,UT,-112.784526719148,39.7025896591621,11.3,11.0,70.2,70.0,13.8,9.7,18.4,35.2,19.9
828,TX,-100.417890745347,29.3502838313614,9.1,36.7,71.4,48.9,19.1,14.9,31.5,40.3,28.7
829,NH,-72.2512079776632,42.9195243861635,11.4,7.0,66.6,64.4,18.2,15.0,19.7,34.6,29.6
831,IN,-85.5010738114489,39.3070538681262,11.0,7.6,75.6,62.7,18.1,17.2,26.9,35.6,25.9
834,OH,-82.9197685705352,40.8507264130061,11.9,9.0,75.4,56.4,19.2,23.6,29.3,41.4,23.5
835,TX,-97.6545497326334,33.2159029941521,10.0,17.4,70.2,52.8,19.4,17.7,27.3,43.2,26.6
837,MT,-112.22672285102,48.2279658725192,11.8,10.3,69.2,58.0,23.2,18.2,23.4,34.3,24.4
838,KY,-88.9757558942533,36.6780265601489,11.3,6.4,76.9,56.1,14.8,20.2,26.7,42.3,23.6
839,NE,-99.449849362226,42.4214023473833,9.5,9.2,70.0,62.2,21.7,16.9,25.7,33.9,20.1
840,IA,-93.9315830366559,42.03649567412,10.0,5.6,75.1,67.9,24.6,15.5,23.8,35.3,23.2
841,WV,-81.3481814780551,38.713994096242,13.3,10.9,77.4,44.8,15.8,27.3,36.1,44.8,26.3
842,KY,-84.1180802245554,37.110260965665,11.4,7.9,76.5,53.0,14.1,21.3,29.2,41.0,23.9
844,MI,-88.4359343938762,47.6266255714514,11.0,4.0,75.4,72.4,21.1,14.5,18.8,33.5,19.1
845,TN,-88.6133824508421,35.4217015292036,12.3,12.0,74.6,51.1,16.1,24.7,31.7,42.6,30.0
846,TX,-98.1248739225025,28.3514151858659,9.6,29.5,71.5,47.9,18.6,17.9,31.4,40.6,32.3
847,TX,-100.814009320183,34.9651749903326,10.5,19.1,71.6,53.9,19.9,17.7,27.1,38.8,27.7
849,TX,-93.8937229414499,30.1213657594066,10.2,15.7,72.2,55.2,19.7,18.4,28.4,41.9,27.5
852,MN,-94.2311440313059,44.5794639528544,10.0,7.9,68.2,64.4,23.5,16.7,22.2,31.3,21.9
853,NC,-78.5631528118713,34.6142975484762,10.6,13.2,77.4,56.4,16.3,17.7,28.2,38.2,26.2
854,NE,-101.650140073647,40.8506321595162,9.7,9.2,69.4,60.3,21.0,17.5,26.2,33.1,21.3
855,KS,-97.1528563755695,38.8662720239337,10.6,10.7,74.3,64.1,20.7,16.4,23.2,34.7,20.2
856,KS,-99.9154733266333,38.4797415683881,10.9,11.8,72.7,60.7,19.0,18.5,25.5,36.3,20.7
857,MA,-70.9515214537115,42.6718608300579,11.2,5.8,79.1,70.1,19.3,12.0,20.4,36.7,21.0
858,KS,-98.7563274715367,38.478924410301,10.7,11.8,74.4,60.8,19.6,16.5,24.7,34.6,21.9
859,IN,-85.7193168581081,40.1617332769841,11.8,9.9,75.0,56.3,15.8,22.7,29.3,38.3,24.2
860,KY,-83.2219648663507,37.2440537215289,12.0,7.4,76.4,51.3,14.0,22.4,29.2,41.8,25.3
861,TX,-101.303178278606,34.0723791085183,10.1,31.7,70.4,44.1,17.4,19.2,36.9,40.0,31.6
863,TX,-99.3540694252788,32.7359833326809,10.3,14.1,72.0,58.9,20.8,15.5,23.2,37.1,25.0
864,IA,-93.2625161834423,42.7325751156083,9.9,8.0,74.7,62.3,23.1,18.8,29.0,36.2,23.1
865,MN,-91.492859784076,43.6714442501057,10.4,7.8,69.6,63.7,23.8,17.8,22.7,30.6,20.4
866,TX,-94.6090395535865,29.7383140055434,9.9,16.3,72.5,57.1,20.0,14.7,25.0,39.4,25.4
867,UT,-113.504526345629,37.2804820270265,11.1,10.3,71.2,70.4,11.5,8.5,16.0,34.9,20.4
869,KY,-85.136495974481,36.7276110005056,12.2,7.6,76.6,50.7,14.5,23.1,29.7,41.4,23.6
870,IN,-86.0518728213484,40.311346847119,10.7,11.4,76.0,63.9,17.8,16.2,24.8,34.9,24.0
871,KY,-83.2174837027453,36.8569364661169,12.9,12.0,76.5,44.5,13.2,27.8,35.5,45.3,25.7
872,KS,-95.7429614607278,37.1924773621516,11.3,11.7,75.0,56.1,17.6,21.0,27.7,38.8,21.4
873,TX,-101.43165088656,32.743639840193,8.9,15.1,71.4,65.8,22.2,11.7,19.2,34.7,26.6
874,MO,-90.0908868088021,36.2723015062895,11.3,17.5,74.9,49.6,17.4,23.6,32.0,40.3,26.2
875,TX,-98.2178480863038,32.2362428952584,10.1,17.1,72.0,52.3,20.2,17.9,28.4,40.6,25.9
876,MN,-93.7300444403047,44.371386343025,10.2,7.1,67.7,61.5,23.6,19.5,24.5,35.3,20.7
877,MO,-90.4425635134078,38.6407242112709,10.5,7.7,76.8,62.2,20.1,16.6,23.3,35.0,23.1
879,MI,-84.838206346424,42.5960358634351,10.8,5.7,76.3,71.5,19.2,13.6,21.0,32.8,22.5
883,IA,-95.6239316219737,43.3786794224727,10.4,10.8,75.3,64.1,23.0,18.3,27.2,33.8,23.6
885,MO,-93.0162042293285,40.4790172419339,10.5,10.3,73.3,59.9,20.6,19.6,24.7,38.6,20.8
887,AL,-87.7389050506601,33.7211713531213,11.3,10.7,75.9,49.5,15.6,21.8,32.2,40.5,26.7
888,NE,-99.7259261660221,41.3939884286775,9.4,8.1,70.4,61.0,20.0,16.4,26.1,33.3,22.5
889,OK,-94.6587457084976,35.8840104462357,14.4,14.1,72.9,45.4,14.1,25.8,37.1,41.5,29.9
890,AL,-87.6540983850983,34.9014438477101,10.3,9.7,77.1,59.5,16.5,16.3,25.5,41.4,22.9
891,MD,-75.3337982988111,38.2127499337864,11.2,7.1,77.5,63.0,19.0,15.5,22.2,32.1,27.2
893,OK,-96.2977819773312,34.5882312743251,13.5,13.3,73.1,47.1,14.3,24.4,36.7,41.8,25.9
895,WV,-78.9438660349927,39.4145638145152,11.7,7.2,78.2,55.7,17.3,20.2,28.5,38.7,24.8
897,MO,-90.9621852703375,36.9411874815224,11.4,13.6,73.3,52.3,18.7,22.7,29.8,38.4,23.7
898,NV,-119.616132682878,38.9122785452806,10.6,11.1,71.4,67.2,22.3,12.3,18.8,33.9,24.1
899,IA,-95.1509796782216,43.377909595667,9.9,5.5,74.2,65.9,25.0,17.6,24.2,34.7,19.5
900,ID,-116.601256003773,48.3001156935128,11.1,9.6,69.2,64.6,19.1,14.5,21.3,30.6,22.1
901,NE,-96.3286175178258,41.8515454666432,9.4,9.6,71.4,62.5,21.6,16.0,24.7,34.1,23.0
902,GA,-84.4436447326603,31.3268164349258,11.2,20.7,76.9,51.8,14.0,17.1,30.7,40.6,32.6
903,MO,-95.4282082572198,40.4308409330019,10.8,15.3,73.4,56.4,20.0,21.3,27.0,38.5,23.3
905,AK,-159.82324096097,60.9128860869079,14.1,16.6,64.5,37.0,18.1,33.8,35.4,41.8,36.6
906,WA,-122.54942372127,48.1637480486436,11.3,6.7,68.7,68.9,19.8,10.9,14.8,31.0,25.4
907,GA,-82.2642138010573,33.5442564470998,10.2,12.7,76.3,61.3,16.4,15.0,23.7,35.6,26.7
908,WI,-88.7706647146097,45.6675721947633,11.7,10.3,73.7,60.8,23.2,19.9,25.9,35.8,27.4
909,CA,-122.238126872813,39.1776793679318,10.6,16.7,67.6,55.9,19.8,14.7,27.2,34.8,34.5
910,GA,-84.6226064650118,31.5290236179393,11.1,25.3,75.8,41.5,14.1,24.0,36.6,44.4,38.3
914,TX,-99.1082691100666,28.8676630921064,9.2,36.1,69.1,41.6,17.3,18.8,38.4,42.0,34.5
915,GA,-85.504188975033,34.8546132098114,10.0,19.9,72.8,60.5,18.2,16.1,23.6,35.9,29.6
916,WY,-104.475677641739,43.0562528774242,11.8,11.8,67.2,54.9,18.6,21.2,27.3,32.8,20.3
917,NM,-107.192368105928,33.1306734754366,11.6,12.1,65.5,56.2,16.6,19.6,25.4,36.2,24.3
918,IN,-85.2212459735228,40.7291871132406,11.3,7.3,75.0,60.1,18.9,20.3,28.8,39.6,23.4
919,AL,-86.8674617693469,34.1321232297422,10.6,13.5,74.2,54.8,17.4,18.6,30.5,37.4,25.4
920,MT,-113.440260921517,46.4040577446116,11.1,8.1,68.8,60.7,22.6,17.4,22.9,33.1,22.2
921,OK,-95.2084350557607,36.7615458238067,13.8,11.6,72.4,48.2,14.7,23.3,35.8,39.9,26.8
922,MN,-92.4018922941946,44.00382802527,9.8,6.3,67.2,70.1,21.1,12.6,17.9,30.5,19.5
926,WA,-117.404063103244,47.6206587768365,12.7,8.3,68.8,64.7,18.5,14.1,20.4,33.5,28.5
927,IA,-94.0396540325165,41.6848036594408,9.1,4.9,76.9,75.3,24.3,10.9,18.0,27.6,17.6
928,OH,-83.3043356711719,40.842380644598,10.7,7.3,75.6,63.2,21.5,18.0,25.6,38.4,21.1
932,IN,-86.1116122931218,38.1954032875338,11.1,9.4,74.7,62.1,20.2,18.5,26.2,40.3,22.0
933,TX,-96.9937772811132,28.1203533617689,10.3,19.0,71.4,50.1,19.3,19.0,31.1,40.1,27.2
935,AL,-85.2412788046304,31.5148475570572,11.4,11.7,76.7,49.7,15.6,21.5,32.8,42.6,29.1
936,MI,-83.8959473867749,44.065573391666,12.2,7.8,75.0,63.3,20.5,20.2,25.5,34.5,25.0
939,MO,-91.8616032929865,38.4600506601241,10.1,8.2,72.7,60.6,21.5,19.5,24.1,38.3,20.5
941,WA,-120.618711870213,47.8688376551815,11.4,10.5,67.0,64.4,19.6,12.2,17.7,28.9,27.3
942,AK,-135.336028290736,59.5592737178809,10.3,12.1,63.4,58.8,21.6,17.5,22.7,36.0,26.1
943,MS,-88.6391156433916,31.2143498936852,9.6,14.5,75.8,7.8,17.2,20.3,31.4,38.0,32.8
944,KS,-98.2046890800915,38.6968067575173,10.3,11.4,73.6,59.4,20.5,18.8,26.7,35.5,22.7
945,GA,-83.6873661795934,33.3162972573575,10.7,14.5,73.5,55.3,16.4,18.8,28.8,37.4,27.4
946,TN,-86.0758164939626,35.4904113373197,12.3,11.8,73.3,52.0,15.5,24.5,30.4,40.6,27.0
947,TN,-88.9932105670901,35.2067003430217,11.8,15.3,77.4,49.3,14.6,24.5,33.5,45.0,33.6
948,NC,-79.2373149494308,35.0172991021942,10.9,13.3,76.9,57.5,16.7,16.6,26.6,39.8,25.7
949,CA,-121.695251446392,37.2316875247769,8.5,5.6,67.5,67.3,16.2,8.8,19.1,31.8,29.2
950,IA,-91.5991322352261,42.0789014925625,10.2,5.9,78.3,68.1,22.9,14.1,22.9,32.0,24.6
951,TX,-95.8365866293044,32.5635031932869,10.9,17.4,70.9,52.5,19.6,18.0,27.5,37.8,28.1
952,ID,-116.708957811914,43.6247624853459,11.5,11.8,71.0,62.5,17.0,15.2,25.9,35.5,20.6
953,GA,-84.0428596914371,32.357909985862,11.8,24.5,75.8,38.0,12.9,26.2,41.2,47.8,38.4
955,KY,-89.1872234673432,36.5540492089998,12.6,10.3,77.3,44.0,13.0,27.3,35.6,45.5,25.7
958,MT,-108.959098790374,48.4322379510677,12.3,10.2,69.9,55.4,21.0,21.8,26.1,32.3,27.3
959,CA,-122.392432829407,39.5983868407646,10.9,15.7,66.9,55.5,19.6,15.6,26.5,37.3,31.9
961,MN,-92.7524342032099,43.6714131000436,10.3,10.5,68.9,60.5,22.6,17.0,24.3,34.8,23.6
962,TX,-99.7303772258347,33.1782688414927,10.1,24.6,70.3,48.0,18.8,20.4,30.8,39.3,30.3
963,AL,-87.3083095693845,31.9892939338512,12.7,15.9,80.6,39.7,11.8,25.0,40.7,47.4,34.7
964,TX,-94.812237365989,30.1515050413894,10.9,30.2,71.3,45.7,17.7,21.0,33.6,39.6,29.2
965,NC,-80.2126241733172,35.79334763177,10.2,13.0,75.1,61.2,18.7,17.4,23.1,33.9,22.0
966,TN,-85.2048458070841,35.5967339198505,11.7,19.2,74.0,48.3,16.1,26.1,32.2,41.0,30.5
967,TN,-89.4934505803668,36.3349506764167,11.8,22.7,75.7,44.8,15.2,27.0,35.9,44.1,32.7
968,NC,-79.7480501194479,35.0059731618643,10.9,17.0,76.5,54.9,16.7,19.2,27.8,37.9,24.3
969,WI,-90.6180280525809,43.9459869831102,11.0,8.1,72.4,64.8,24.3,17.0,22.6,32.1,26.8
970,TX,-100.529830902237,31.8888150971988,10.5,22.9,71.4,48.5,19.0,20.5,31.4,40.3,26.4
971,IA,-91.9503055023498,40.7532395200175,10.2,8.3,74.5,61.6,22.9,20.0,28.4,34.8,23.3
972,IA,-92.640891276702,41.3351862830208,9.9,9.9,75.7,67.4,22.9,15.4,25.0,35.1,24.5
973,TX,-95.5711286178651,33.6669168991242,11.0,17.5,72.4,51.6,18.2,19.4,28.6,39.8,28.6
974,MO,-92.8861853236506,38.4236275868342,11.2,17.4,73.5,53.6,20.0,23.4,29.0,40.7,26.2
975,SC,-80.6663807174442,32.8637476905498,11.1,15.0,78.2,54.4,16.6,21.3,30.9,39.4,29.8
977,GA,-84.2166430665433,31.5334783335968,12.3,18.4,80.4,50.6,12.0,18.8,31.5,47.4,36.7
978,VT,-72.713775897256,42.9903591496114,12.4,6.6,68.8,65.6,20.8,14.0,17.1,29.7,22.7
979,WY,-106.87999955798,44.7906982747118,10.3,9.0,66.1,64.2,18.7,15.1,19.8,30.8,18.1
980,WI,-91.8963111239611,44.9466540227818,11.0,5.4,74.1,65.3,22.9,16.1,22.5,34.9,23.8
981,AZ,-109.48881915611,35.3954681672691,15.1,14.3,67.3,43.6,16.8,27.1,31.6,42.7,35.0
985,NC,-80.8328001765676,35.2467186870894,9.9,12.1,76.0,63.7,19.2,12.9,18.9,38.6,23.5
987,MI,-86.2674491587777,43.6410193269243,11.0,11.1,75.3,65.1,19.7,18.0,24.9,33.3,25.3
989,NE,-100.393745032944,40.5299425294288,9.9,7.4,70.9,61.3,20.7,17.2,26.0,32.4,23.5
990,MS,-89.5894912717861,30.7688524519245,10.0,11.4,75.7,9.8,16.8,18.4,29.4,40.0,31.4
991,OH,-83.4560989933978,39.559992354904,11.9,10.9,76.0,56.7,17.6,23.4,30.2,40.3,25.1
992,NM,-103.48007550738,34.0212007813227,11.0,13.1,65.4,59.1,16.5,17.5,26.6,35.7,25.8
993,MT,-112.390254008373,47.1224620354911,10.6,7.1,71.1,70.8,23.4,11.3,15.0,28.1,19.3
994,ID,-116.426368203162,46.2366501834788,11.6,9.6,71.3,58.6,16.0,18.0,27.3,36.4,22.8
995,OK,-94.7555072375447,35.4956252721085,13.6,12.2,72.9,48.6,14.8,23.2,36.3,38.1,26.1
996,TX,-101.298477753686,33.179828329814,8.8,35.7,68.6,44.1,19.5,19.3,34.5,40.9,31.8
997,GA,-82.9386895818028,31.9299273067199,10.4,27.4,74.1,43.5,14.3,21.8,37.2,43.3,36.9
998,IA,-93.7067801073882,42.3838402278869,9.5,8.2,76.6,68.4,23.7,15.4,23.5,32.0,22.8
999,IA,-93.7351726072187,42.7330220408153,9.9,8.7,76.1,61.8,22.9,18.0,28.8,33.4,22.2
1000,OK,-98.5356533809585,36.3117422798628,11.8,12.0,72.3,57.7,15.9,17.6,28.9,34.7,23.2
1002,GA,-82.9641396441627,34.35079675136,10.4,15.0,75.1,58.2,16.8,16.6,26.5,35.4,30.0
1003,NJ,-74.410830751515,40.4395642172698,8.1,10.6,76.1,66.0,14.0,9.7,21.4,39.4,30.7
1004,OK,-95.2306650873753,36.3019893623476,13.3,13.3,72.9,51.3,15.0,21.9,33.8,38.5,25.9
1005,GA,-84.7475512679945,34.7888618055535,10.6,19.3,73.1,54.7,17.3,18.4,30.6,36.1,28.7
1006,MD,-76.8475085634277,38.8296511376687,10.6,10.7,76.0,59.7,11.8,10.5,23.7,43.8,35.7
1007,NE,-98.5011936003364,40.5244942129641,9.5,9.8,70.4,64.2,20.7,15.1,24.6,30.4,23.1
1008,KY,-85.6290161169446,36.9904294171946,11.8,8.3,75.9,50.7,14.6,24.6,30.7,41.7,26.6
1009,KY,-83.9634186550768,37.6919509574463,11.8,9.4,75.2,49.4,14.3,25.1,31.2,42.1,25.7
1010,SC,-79.9524070272339,32.8342811198518,9.0,13.5,76.4,70.1,23.1,10.1,17.5,30.6,21.5
1012,IN,-86.4951451585754,38.5416818190055,11.6,9.9,76.5,59.1,17.5,20.6,27.3,40.4,24.3
1013,WV,-80.6191280922939,40.0974423829071,11.5,6.0,78.9,60.7,18.1,16.8,24.6,41.3,23.5
1014,WI,-90.6778902316707,46.316621249561,11.8,7.4,72.5,59.8,22.0,20.9,23.5,34.4,25.5
1015,SC,-80.5904475262785,34.3384690251,10.3,14.5,77.2,61.6,19.4,17.3,27.6,39.7,25.6
1017,MD,-78.6972087564265,39.6212409737137,12.1,9.4,78.6,58.5,17.9,15.8,25.2,42.5,27.1
1020,MS,-89.1885153331296,34.8172615293265,10.6,13.1,78.2,9.2,15.2,17.9,31.3,38.3,32.8
1021,TX,-101.20854325148,34.530269838452,10.8,29.6,72.0,42.0,16.7,22.5,36.3,41.5,29.2
1022,SC,-81.0315692344724,32.4360266226722,10.2,16.8,78.0,56.2,16.9,18.0,27.6,37.7,28.9
1023,RI,-71.2838312167734,41.7116722829228,11.7,4.1,82.0,74.5,20.0,13.0,17.9,33.1,22.0
1025,TN,-87.3824869108928,36.4969867160053,11.4,9.8,76.5,59.3,16.3,18.4,27.3,44.6,26.6
1026,MI,-85.0773421466224,46.0788072848998,11.8,7.3,76.6,66.6,19.3,17.1,24.0,35.2,25.0
1027,TX,-100.253840082948,33.1790674385685,10.2,21.5,71.0,50.6,18.9,19.0,29.6,39.4,28.6
1028,MT,-108.250390746347,47.1176566634975,10.7,8.9,68.5,62.5,23.7,16.3,21.4,32.9,21.7
1029,MN,-94.8976639086331,46.0705781596942,10.6,9.8,68.6,60.9,22.2,17.3,23.6,31.4,23.4
1031,OH,-84.647965894182,39.7415985069018,11.3,6.9,76.0,60.2,20.7,21.6,26.4,37.9,24.3
1032,MI,-85.1525304678967,43.310886147991,11.3,8.1,75.1,64.3,19.6,20.9,25.6,37.3,26.3
1033,IN,-86.4752323334524,40.3017954369389,10.5,12.7,75.7,60.7,17.9,18.7,28.9,38.3,26.0
1034,GA,-83.530457749718,34.6306391700714,10.8,16.5,73.3,55.3,15.9,18.0,29.7,36.5,29.8
1035,WV,-81.9090313136704,38.5086607909013,11.7,6.1,79.9,61.4,17.3,16.5,25.7,41.5,22.8
1036,NE,-97.5950617652115,40.176220357264,9.6,8.8,70.3,60.9,21.0,16.7,26.0,30.9,21.6
1037,NC,-79.2552206168112,35.7026752604208,9.6,11.3,75.3,65.3,18.1,13.8,20.5,30.1,22.4
1038,IA,-91.5877414061848,41.6715310242667,9.3,7.7,77.8,70.0,24.7,12.8,19.6,30.8,20.2
1040,MO,-93.9899558528202,39.352257627708,10.9,14.0,73.6,58.3,20.5,19.7,25.8,38.8,22.5
1041,KS,-97.6497286926184,38.7838683531129,10.6,9.6,75.3,62.9,20.0,17.2,24.0,33.7,23.1
1042,TX,-97.6596738477396,26.4696396211286,9.1,43.4,70.7,40.7,16.2,17.7,40.4,41.9,33.5
1043,KY,-88.2723209240063,36.6209160964555,11.1,7.1,77.5,59.6,14.8,16.3,24.8,40.5,23.3
1044,TX,-96.2878987392596,32.5994523477795,10.3,19.1,73.0,54.4,19.0,16.6,29.7,40.9,28.5
1046,CA,-122.439681175401,37.7566838021847,8.7,5.7,69.8,69.5,22.8,8.8,16.4,32.5,29.9
1047,KY,-85.3370797534498,38.6131211554902,11.1,5.7,76.1,57.2,15.4,19.7,26.3,39.7,22.8
1048,MN,-95.8684089442887,44.7162127267714,10.2,6.9,68.8,62.0,23.2,17.2,22.6,33.9,23.4
1049,MN,-96.3693644206458,48.3582450126042,10.2,8.5,68.1,63.1,23.1,17.5,22.8,31.7,22.8
1051,MN,-96.7825568052837,48.7768126133246,10.5,6.6,69.4,64.2,23.0,17.0,20.8,32.6,21.1
1052,NC,-82.4800088797413,35.336054724191,9.6,12.2,74.2,64.8,19.2,15.0,20.7,34.4,19.5
1053,GA,-82.8790113876123,33.565904432115,11.3,16.8,76.7,50.3,13.9,19.6,32.0,43.8,36.7
1054,WI,-89.9480570627182,43.4268791076475,11.4,6.6,72.8,63.9,25.3,18.7,21.9,35.3,25.0
1055,MO,-94.3421893986098,37.8506373208135,11.2,13.7,73.5,52.9,19.0,23.1,29.9,39.7,24.4
1056,IN,-85.4265637705832,41.6425933289659,12.1,12.1,73.2,56.0,18.3,22.9,31.5,35.1,28.9
1058,ID,-112.311047195538,43.8201624900105,10.9,10.1,70.0,64.9,16.7,15.5,25.2,33.7,20.6
1061,KY,-83.6832279038396,37.4195062027871,11.8,12.3,76.0,48.2,14.1,25.6,31.8,42.5,25.2
1062,TN,-85.0749592022297,36.5584729909283,12.5,16.4,73.8,49.7,16.4,25.7,33.0,40.4,26.4
1063,MI,-86.6040533019625,46.4090255206874,11.2,7.6,75.2,65.4,20.9,17.8,23.9,35.9,24.9
1064,MO,-90.9596887907671,39.0579189378676,10.5,10.6,72.6,59.1,20.6,18.9,25.9,39.1,23.8
1065,NC,-78.6503446201168,35.7900594036584,8.8,9.8,76.8,70.4,18.7,9.7,15.8,31.6,19.3
1066,IA,-96.1778115096581,43.0825131009623,9.2,7.0,74.4,67.3,23.1,15.8,27.0,27.8,19.7
1067,OK,-97.30936420479,34.704567177109,12.4,13.5,71.5,52.4,14.9,20.5,33.4,39.5,26.2
