algorithm,pattern,dataset_id,ssr,randi,nmi,mae,time
AZP,Arbitrary,134,105.22601442820016,0.8912256410256411,0.7155111010065505,0.27735544112343935,1.7502970695495605
AZP,Arbitrary,135,332.4823161109397,0.8608871794871795,0.6184366370187785,0.5631249324529617,0.890174150466919
AZP,Arbitrary,136,107.80235719126107,0.8268410256410257,0.5735618931813707,0.4999583412228074,1.3220431804656982
AZP,Arbitrary,137,409.3394933937689,0.7961435897435898,0.49215938447389335,0.70226438505571,1.6672098636627197
AZP,Arbitrary,138,146.11742179156306,0.8937384615384616,0.7077708191440656,0.4205519673209711,1.3524696826934814
AZP,Arbitrary,139,197.9870072272248,0.8313487179487179,0.5282151291317786,0.6760718556819898,0.9178042411804199
AZP,Arbitrary,140,126.42584875083841,0.8000666666666667,0.4678904361121306,0.7328862136224089,1.510202407836914
AZP,Arbitrary,141,151.18779542757403,0.7891384615384616,0.5093189502917709,0.6369394077009625,1.5810010433197021
AZP,Arbitrary,142,234.68834123484984,0.8077128205128206,0.46596482428021424,0.754373735487494,2.617377519607544
AZP,Arbitrary,143,310.8747857458866,0.7960102564102564,0.48744740227844835,0.9437235160961965,2.2140209674835205
AZP,Arbitrary,144,119.80061283735347,0.8473487179487179,0.5861931684123406,0.5291304719757276,1.1683886051177979
AZP,Arbitrary,145,154.99530695793783,0.828748717948718,0.5450782863732576,0.886644091536234,1.598630666732788
AZP,Arbitrary,146,233.54142503544855,0.8086923076923077,0.5219880365840848,0.7360594530394272,0.8850297927856445
AZP,Arbitrary,147,206.8402026445265,0.8142,0.537919004691681,0.7043523114710911,1.6479079723358154
AZP,Arbitrary,148,200.97448882045677,0.8413538461538461,0.621253192656423,0.46734373122723083,1.0599477291107178
AZP,Arbitrary,149,268.91507111248035,0.8315076923076923,0.5354929168198479,0.6490990992202746,1.4152889251708984
RegionKModels,Rectangular,3,383.3662098173495,0.7713538461538462,0.3995553110983122,0.6568840908623819,0.06164431571960449
RegionKModels,Rectangular,4,101.85088191937865,0.7688307692307692,0.37993491916455874,0.6692956005165014,0.06293988227844238
RegionKModels,Rectangular,5,304.19494200942506,0.7727794871794872,0.38541868636968296,0.863273419377586,0.05319499969482422
RegionKModels,Rectangular,6,162.33875283754898,0.7978512820512821,0.4838832313304787,0.7393967472618836,0.07622718811035156
RegionKModels,Rectangular,7,510.06697688067777,0.7835794871794872,0.435048413810462,0.9184769375635987,0.04685330390930176
RegionKModels,Rectangular,8,275.20040483669095,0.7833589743589744,0.40588677978274557,0.8406653858344462,0.03122115135192871
RegionKModels,Rectangular,9,485.4609139979798,0.790451282051282,0.478831422040957,0.9986421660074047,0.035260677337646484
RegionKModels,Rectangular,10,328.0009687794494,0.7216051282051282,0.21294134435309023,1.0983363048051549,0.04691767692565918
RegionKModels,Rectangular,11,303.1987762512326,0.7539282051282051,0.33141097532360636,1.1606300980612343,0.022732257843017578
RegionKModels,Rectangular,12,425.63207599011,0.7123641025641025,0.16209201887839078,1.2134999498821153,0.019030332565307617
RegionKModels,Rectangular,13,461.71348103160165,0.8090461538461539,0.4732305276333831,0.7516808982222508,0.05595517158508301
RegionKModels,Rectangular,14,252.01685148928485,0.8147435897435897,0.5967548675471135,0.5409755369889474,0.031736135482788086
RegionKModels,Rectangular,15,287.4266685201715,0.7928512820512821,0.4411803876694839,0.7642191137306691,0.06601905822753906
RegionKModels,Rectangular,16,232.96832054535287,0.8080717948717949,0.49029403993041293,0.9034777563655177,0.03126859664916992
RegionKModels,Rectangular,17,536.1990509227624,0.7740461538461538,0.40485595802948676,0.9245940565156369,0.03130006790161133
RegionKModels,Rectangular,18,310.61306387325135,0.7888461538461539,0.42375141412882006,0.9473881058415579,0.03129863739013672
RegionKModels,Rectangular,19,458.5942331905978,0.7691025641025641,0.38228793683801177,1.1296206131620177,0.031282901763916016
RegionKModels,Rectangular,20,279.5804130742547,0.8734512820512821,0.7036108719802113,0.5966087238664476,0.082427978515625
RegionKModels,Rectangular,21,233.21625536239662,0.8449435897435897,0.637999956286913,0.5999231268752722,0.06984424591064453
RegionKModels,Rectangular,22,526.9447557150588,0.7884666666666666,0.39800485574041705,0.8825208523641229,0.015625
RegionKModels,Rectangular,23,275.4944019754944,0.8212923076923077,0.5338154706594,0.7336326727879605,0.045392751693725586
RegionKModels,Rectangular,24,337.0019960347216,0.7577794871794872,0.35812984873345743,0.999984884045642,0.015658140182495117
RegionKModels,Rectangular,25,304.5781455270627,0.8618461538461538,0.6607317533990513,0.5741377446927176,0.04694414138793945
RegionKModels,Rectangular,26,347.642009633697,0.7872871794871795,0.38647888623645277,0.9502377739930901,0.09517741203308105
RegionKModels,Rectangular,27,735.1211342111676,0.7598,0.34392964861598213,0.985023760043487,0.02715277671813965
