Running algorithms: ['AZP', 'RegionKModels', 'SKATER-reg', 'GWR+SKATER', 'SHAP-based']
Resuming from: <path>\simulation_study\results\baseline_per_dataset.csv
Already-completed (algo,dataset) pairs: 18

  Arbitrary d=148: time=1.06s ssr=200.97 randi=0.841 nmi=0.621 mae=0.467
  Arbitrary d=149: time=1.42s ssr=268.92 randi=0.832 nmi=0.535 mae=0.649
=== AZP done in 257.0s ===

=== RegionKModels ===
  Rectangular d=3: time=0.06s ssr=383.37 randi=0.771 nmi=0.400 mae=0.657
  Rectangular d=4: time=0.06s ssr=101.85 randi=0.769 nmi=0.380 mae=0.669
  Rectangular d=5: time=0.05s ssr=304.19 randi=0.773 nmi=0.385 mae=0.863
  Rectangular d=6: time=0.08s ssr=162.34 randi=0.798 nmi=0.484 mae=0.739
  Rectangular d=7: time=0.05s ssr=510.07 randi=0.784 nmi=0.435 mae=0.918
  Rectangular d=8: time=0.03s ssr=275.20 randi=0.783 nmi=0.406 mae=0.841
  Rectangular d=9: time=0.04s ssr=485.46 randi=0.790 nmi=0.479 mae=0.999
  Rectangular d=10: time=0.05s ssr=328.00 randi=0.722 nmi=0.213 mae=1.098
  Rectangular d=11: time=0.02s ssr=303.20 randi=0.754 nmi=0.331 mae=1.161
  Rectangular d=12: time=0.02s ssr=425.63 randi=0.712 nmi=0.162 mae=1.213
  Rectangular d=13: time=0.06s ssr=461.71 randi=0.809 nmi=0.473 mae=0.752
  Rectangular d=14: time=0.03s ssr=252.02 randi=0.815 nmi=0.597 mae=0.541
  Rectangular d=15: time=0.07s ssr=287.43 randi=0.793 nmi=0.441 mae=0.764
  Rectangular d=16: time=0.03s ssr=232.97 randi=0.808 nmi=0.490 mae=0.903
  Rectangular d=17: time=0.03s ssr=536.20 randi=0.774 nmi=0.405 mae=0.925
  Rectangular d=18: time=0.03s ssr=310.61 randi=0.789 nmi=0.424 mae=0.947
  Rectangular d=19: time=0.03s ssr=458.59 randi=0.769 nmi=0.382 mae=1.130
  Rectangular d=20: time=0.08s ssr=279.58 randi=0.873 nmi=0.704 mae=0.597
  Rectangular d=21: time=0.07s ssr=233.22 randi=0.845 nmi=0.638 mae=0.600
  Rectangular d=22: time=0.02s ssr=526.94 randi=0.788 nmi=0.398 mae=0.883
  Rectangular d=23: time=0.05s ssr=275.49 randi=0.821 nmi=0.534 mae=0.734
  Rectangular d=24: time=0.02s ssr=337.00 randi=0.758 nmi=0.358 mae=1.000
  Rectangular d=25: time=0.05s ssr=304.58 randi=0.862 nmi=0.661 mae=0.574
  Rectangular d=26: time=0.10s ssr=347.64 randi=0.787 nmi=0.386 mae=0.950
  Rectangular d=27: time=0.03s ssr=735.12 randi=0.760 nmi=0.344 mae=0.985
  Rectangular d=28: time=0.04s ssr=669.55 randi=0.760 nmi=0.346 mae=0.967
  Rectangular d=29: time=0.02s ssr=332.13 randi=0.769 nmi=0.407 mae=1.018
  Rectangular d=30: time=0.06s ssr=123.18 randi=0.756 nmi=0.325 mae=0.752
  Rectangular d=31: time=0.04s ssr=405.95 randi=0.806 nmi=0.462 mae=0.784
  Rectangular d=32: time=0.03s ssr=380.40 randi=0.780 nmi=0.399 mae=1.179
  Rectangular d=33: time=0.03s ssr=513.35 randi=0.799 nmi=0.498 mae=0.751
  Rectangular d=34: time=0.03s ssr=186.69 randi=0.830 nmi=0.549 mae=0.641
  Rectangular d=35: time=0.02s ssr=530.90 randi=0.717 nmi=0.204 mae=1.121
  Rectangular d=36: time=0.08s ssr=312.44 randi=0.795 nmi=0.459 mae=0.643
  Rectangular d=37: time=0.05s ssr=353.26 randi=0.779 nmi=0.422 mae=0.829
  Rectangular d=38: time=0.03s ssr=462.70 randi=0.773 nmi=0.350 mae=1.016
  Rectangular d=39: time=0.06s ssr=259.07 randi=0.767 nmi=0.371 mae=0.826
  Rectangular d=40: time=0.03s ssr=494.33 randi=0.783 nmi=0.401 mae=0.699
  Rectangular d=41: time=0.06s ssr=808.13 randi=0.750 nmi=0.335 mae=0.796
  Rectangular d=42: time=0.02s ssr=486.48 randi=0.802 nmi=0.470 mae=0.865
  Rectangular d=43: time=0.03s ssr=434.70 randi=0.803 nmi=0.450 mae=0.820
  Rectangular d=44: time=0.08s ssr=365.25 randi=0.791 nmi=0.417 mae=0.985
  Rectangular d=45: time=0.03s ssr=660.41 randi=0.749 nmi=0.305 mae=1.017
  Rectangular d=46: time=0.04s ssr=706.39 randi=0.800 nmi=0.439 mae=1.092
  Rectangular d=47: time=0.03s ssr=273.31 randi=0.776 nmi=0.374 mae=1.060
  Rectangular d=48: time=0.07s ssr=294.11 randi=0.750 nmi=0.301 mae=1.117
  Rectangular d=49: time=0.03s ssr=366.02 randi=0.850 nmi=0.607 mae=0.610
  Voronoi d=53: time=0.05s ssr=156.08 randi=0.806 nmi=0.688 mae=0.398
  Voronoi d=54: time=0.03s ssr=484.87 randi=0.874 nmi=0.654 mae=0.574
  Voronoi d=55: time=0.03s ssr=338.04 randi=0.756 nmi=0.483 mae=0.630
  Voronoi d=56: time=0.05s ssr=341.43 randi=0.841 nmi=0.590 mae=0.599
  Voronoi d=57: time=0.03s ssr=344.16 randi=0.792 nmi=0.507 mae=0.729
  Voronoi d=58: time=0.06s ssr=297.32 randi=0.704 nmi=0.345 mae=1.030
  Voronoi d=59: time=0.03s ssr=390.53 randi=0.845 nmi=0.615 mae=0.526
  Voronoi d=60: time=0.02s ssr=371.41 randi=0.806 nmi=0.541 mae=0.705
  Voronoi d=61: time=0.05s ssr=431.75 randi=0.771 nmi=0.421 mae=0.853
  Voronoi d=62: time=0.05s ssr=358.96 randi=0.776 nmi=0.482 mae=0.781
  Voronoi d=63: time=0.02s ssr=192.29 randi=0.787 nmi=0.533 mae=0.652
