Dataset,Algorithm,N_Regions,SSR_Global,SSR_Regime,SSR_Reduction,Avg_R2,Avg_RMSE,Variance_Ratio,Global_R2,Runtime_s
US_Health_DIABETES,AZP,8,1050.7153039439647,383.2160670731117,0.6352807790705324,0.9439365064695395,0.4108363589507513,0.35144808130896127,0.8998487741429291,14.623091697692871
US_Health_DIABETES,RegionKModels,8,1050.7153039439647,466.36592297624344,0.55614435116183,0.9301567539496939,0.46899005828522805,0.3468949671699831,0.8998487741429291,0.2360551357269287
US_Health_DIABETES,GWR+SKATER,8,1050.7153039439647,506.0575382156632,0.5183685472971358,0.9228522821542728,0.45730960365971374,0.4118148495016611,0.8998487741429291,28.79057765007019
US_Health_DIABETES,SKATER-reg,8,1050.7153039439647,400.88220520035264,0.6184673396346267,0.9259688042556573,0.4543480322441857,0.4697430670103202,0.8998487741429291,129.31668853759766
US_Health_DIABETES,SHAP-based,8,1050.7153039439647,410.89966700193764,0.6089333947458605,0.9280719777508277,0.4564670242847433,0.5021830274594552,0.8998487741429291,49.6430983543396
US_Health_DIABETES,GeoEvolve,8,1050.7153039439647,376.2807705179716,0.6418813268393787,0.9261383994822076,0.4479479635028556,0.4987915783151109,0.8998487741429291,93.672110080719
US_Health_OBESITY,AZP,8,14896.456228615312,8050.406804961757,0.45957570838241735,0.7170338261764628,1.8731565537483073,0.27837168234063936,0.6278392549668979,37.67377734184265
US_Health_OBESITY,RegionKModels,8,14896.456228615312,9375.678702350146,0.3706101264312812,0.6671660477247556,2.0594951570834414,0.2598470411175426,0.6278392549668979,0.8320469856262207
US_Health_OBESITY,GWR+SKATER,8,14896.456228615312,8575.03237577872,0.424357562350532,0.6807679043764217,2.0241701209605454,0.39977854368448373,0.6278392549668979,52.11801052093506
US_Health_OBESITY,SKATER-reg,8,14896.456228615312,7631.611937212891,0.48768943297044276,0.6874434130671233,2.006067725446799,0.4940811515734405,0.6278392549668979,131.58510518074036
US_Health_OBESITY,SHAP-based,8,14896.456228615312,7773.323789820188,0.4781763078061452,0.7041152367088768,1.9420770133003364,0.6456206101104056,0.6278392549668979,44.107008934020996
US_Health_OBESITY,GeoEvolve,8,14896.456228615312,7481.000229884578,0.4978000059159058,0.6397071451525016,2.0495506428114605,0.4377985023387583,0.6278392549668979,91.18156147003174
US_Health_STROKE,AZP,8,158.99797260125695,49.45567446327774,0.6889540561167711,0.920637243787987,0.15249945342272173,0.2999332507084771,0.8185663722698227,11.523340225219727
US_Health_STROKE,RegionKModels,8,158.99797260125695,60.71380731000261,0.6181472863036831,0.902609817951568,0.17184363372441055,0.26194146459846746,0.8185663722698227,0.1453838348388672
US_Health_STROKE,GWR+SKATER,8,158.99797260125695,61.01978343700085,0.6162228836085268,0.9115759150601302,0.17081402071725638,0.22918701775409078,0.8185663722698227,28.50566554069519
US_Health_STROKE,SKATER-reg,8,158.99797260125695,52.34509375728122,0.6707813760081403,0.8962309678685083,0.1605419725970213,0.41443822800149555,0.8185663722698227,131.01537609100342
US_Health_STROKE,SHAP-based,8,158.99797260125695,56.78903857934257,0.6428316811198533,0.8899661647772881,0.17142191927924366,0.4135241676794041,0.8185663722698227,48.538915395736694
US_Health_STROKE,GeoEvolve,8,158.99797260125695,50.92345455765423,0.6797226170590074,0.9219462981902242,0.15679743076196373,0.356803037393936,0.8185663722698227,80.54921865463257
US_Hydro_CAMELS,AZP,10,116.3399269944282,51.84663727891118,0.5543521590709418,0.8961227243386397,0.3172975548405847,0.8305585853972697,0.9269537467306539,0.11523914337158203
US_Hydro_CAMELS,RegionKModels,10,116.3399269944282,56.22383793612857,0.5167279248952832,0.8671625083692878,0.33210878205531685,0.8219741616527638,0.9269537467306539,0.0240325927734375
US_Hydro_CAMELS,GWR+SKATER,12,116.3399269944282,79.3508195426189,0.31793992318373043,0.8663446831885121,0.1871136216724633,0.27409425470323884,0.9269537467306539,13.104433536529541
US_Hydro_CAMELS,SKATER-reg,12,116.3399269944282,78.20779540422373,0.3277647887129128,0.9385017545595952,0.12029023314541137,0.14870715024374262,0.9269537467306539,56.01327133178711
US_Hydro_CAMELS,SHAP-based,10,116.3399269944282,42.78263915039434,0.6322617672568824,0.8884921130040416,0.31726112326275147,0.8514965248467752,0.9269537467306539,5.809527158737183
US_Hydro_CAMELS,GeoEvolve,10,116.3399269944282,27.392929407508856,0.7645440381888776,0.952159656589702,0.19211716580887944,0.7604472211912446,0.9269537467306539,9.008483171463013
US_Politics_Voting,AZP,8,170992.2460523363,66766.15116199074,0.6095369661291229,0.8385310351057542,5.781459911385031,0.13751760504033242,0.6762314864527796,33.95384955406189
US_Politics_Voting,RegionKModels,8,170992.2460523363,100993.30799524255,0.4093690776812704,0.7702487821185052,7.111661860363158,0.10784782234372635,0.6762314864527796,0.1380476951599121
US_Politics_Voting,GWR+SKATER,8,170992.2460523363,78957.27328645429,0.5382406213771382,0.8118568605955125,5.8791366913299905,0.19891339873203015,0.6762314864527796,33.307592153549194
US_Politics_Voting,SKATER-reg,8,170992.2460523363,75416.74724648561,0.558946390917618,0.7961508133425612,6.483401076593481,0.23963111993894318,0.6762314864527796,128.1666181087494
US_Politics_Voting,SHAP-based,8,170992.2460523363,57106.79115093229,0.6660270130994514,0.8265832228287813,5.759816188790328,0.2808182890878355,0.6762314864527796,36.143333435058594
US_Politics_Voting,GeoEvolve,8,170992.2460523363,52435.95892456135,0.6933430600793906,0.8489878887370736,5.247149503052519,0.2753054618550943,0.6762314864527796,157.43609976768494
